City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,yasnyy,100,RU,overcast clouds,93,51.0333,59.8742,265.74,0.0,0.0,4.76
1,busselton,0,AU,clear sky,72,-33.65,115.3333,292.62,0.0,0.0,1.88
2,juneau,100,US,snow,94,58.3019,-134.4197,277.51,0.0,0.51,5.14
3,upernavik,100,GL,overcast clouds,97,72.7868,-56.1549,255.53,0.0,0.0,2.43
4,pasni,30,PK,scattered clouds,76,25.2631,63.471,295.4,0.0,0.0,4.61
5,vieques,100,PR,light rain,88,18.425,-65.8329,297.96,0.75,0.0,5.14
6,paka,91,MY,overcast clouds,83,4.6374,103.4368,300.11,0.0,0.0,4.12
7,vaini,100,TO,light rain,100,-21.2,-175.2,297.24,0.0,0.0,6.17
8,araouane,0,ML,clear sky,9,18.9048,-3.5265,295.89,0.0,0.0,3.21
9,myaundzha,34,RU,scattered clouds,67,63.0494,147.1858,244.63,0.0,0.0,1.46
10,vieste,100,IT,overcast clouds,77,41.8825,16.175,284.43,0.0,0.0,0.77
11,atuona,13,PF,few clouds,74,-9.8,-139.0333,299.09,0.0,0.0,9.82
12,avarua,40,CK,scattered clouds,83,-21.2078,-159.775,299.18,0.0,0.0,3.09
13,aswan,0,EG,clear sky,39,24.0934,32.907,287.26,0.0,0.0,5.1
14,punta arenas,75,CL,broken clouds,59,-53.15,-70.9167,290.21,0.0,0.0,15.43
15,jamestown,75,US,broken clouds,48,42.097,-79.2353,265.54,0.0,0.0,1.79
16,mar del plata,100,AR,moderate rain,89,-38.0023,-57.5575,292.64,2.73,0.0,2.68
17,qaanaaq,91,GL,overcast clouds,76,77.484,-69.3632,256.15,0.0,0.0,1.79
18,iqaluit,75,CA,broken clouds,62,63.7506,-68.5145,242.0,0.0,0.0,0.0
19,sao gabriel da cachoeira,20,BR,few clouds,78,-0.1303,-67.0892,301.04,0.0,0.0,1.03
20,xichang,90,CN,overcast clouds,78,27.8964,102.2634,280.2,0.0,0.0,0.38
21,tatarsk,100,RU,overcast clouds,85,55.219,75.9828,260.37,0.0,0.0,3.59
22,port blair,20,IN,mist,78,11.6667,92.75,300.17,0.0,0.0,2.06
23,miri,40,MY,scattered clouds,94,4.4148,114.0089,298.23,0.0,0.0,2.06
24,cape town,0,ZA,clear sky,61,-33.9258,18.4232,300.43,0.0,0.0,1.79
25,abu samrah,3,SY,clear sky,79,35.3029,37.1841,280.62,0.0,0.0,3.73
26,rikitea,53,PF,broken clouds,73,-23.1203,-134.9692,299.05,0.0,0.0,5.73
27,ushuaia,40,AR,scattered clouds,39,-54.8,-68.3,290.94,0.0,0.0,5.66
28,kozan,2,TR,clear sky,59,37.4552,35.8157,280.65,0.0,0.0,3.33
29,nelson bay,98,AU,overcast clouds,67,-32.7167,152.15,294.82,0.0,0.0,1.34
30,east london,75,ZA,light intensity drizzle,94,-33.0153,27.9116,292.67,0.0,0.0,4.12
31,norman wells,95,CA,overcast clouds,92,65.282,-126.8329,249.82,0.0,0.0,2.75
32,albany,23,US,few clouds,66,42.6001,-73.9662,266.73,0.0,0.0,2.24
33,faya,6,SA,clear sky,77,18.3851,42.4509,287.21,0.0,0.0,1.62
34,hobyo,12,SO,few clouds,70,5.3505,48.5268,297.93,0.0,0.0,5.04
35,sao filipe,0,CV,clear sky,68,14.8961,-24.4956,297.04,0.0,0.0,4.37
36,zharkent,12,KZ,few clouds,41,44.1628,80.0,270.75,0.0,0.0,1.74
37,ponta do sol,2,PT,clear sky,39,32.6667,-17.1,296.0,0.0,0.0,5.62
38,saint-philippe,100,RE,light rain,86,-21.3585,55.7679,301.92,0.68,0.0,9.91
39,calvinia,44,ZA,scattered clouds,20,-31.4707,19.776,302.74,0.0,0.0,6.05
40,faanui,11,PF,few clouds,72,-16.4833,-151.75,300.32,0.0,0.0,8.14
41,solnechnyy,100,RU,overcast clouds,98,50.7214,136.6319,256.66,0.0,0.0,0.51
42,eureka,65,US,broken clouds,53,40.8021,-124.1637,279.81,0.0,0.0,1.34
43,laguna,0,US,clear sky,75,38.421,-121.4238,287.43,0.0,0.0,0.45
44,kodiak,0,US,clear sky,86,57.79,-152.4072,272.88,0.0,0.0,2.06
45,auki,57,SB,broken clouds,87,-8.7676,160.7034,299.36,0.0,0.0,2.98
46,semirom,2,IR,clear sky,83,31.4167,51.5667,266.54,0.0,0.0,1.3
47,touros,18,BR,few clouds,54,-5.1989,-35.4608,304.65,0.0,0.0,6.03
48,mantua,5,IT,clear sky,87,45.1667,10.7833,283.42,0.0,0.0,0.89
49,mataura,20,NZ,few clouds,98,-46.1927,168.8643,283.42,0.0,0.0,0.82
50,gra liyia,4,GR,clear sky,70,35.0167,25.6833,286.25,0.0,0.0,2.19
51,thompson,75,CA,broken clouds,68,55.7435,-97.8558,241.24,0.0,0.0,0.0
52,gat,81,IL,broken clouds,100,31.61,34.7642,285.53,0.0,0.0,3.26
53,new norfolk,100,AU,overcast clouds,62,-42.7826,147.0587,287.96,0.0,0.0,0.54
54,new glasgow,100,CA,light snow,94,45.5834,-62.6486,271.36,0.0,0.26,7.03
55,santa cruz,100,BO,heavy intensity rain,94,-17.8,-63.1667,300.85,0.27,0.0,6.17
56,kamenka,85,RU,overcast clouds,98,51.3223,42.7678,257.51,0.0,0.0,3.46
57,codrington,97,AU,overcast clouds,85,-38.2667,141.9667,286.98,0.0,0.0,3.45
58,barrow,100,US,light snow,64,71.2906,-156.7887,249.16,0.0,0.25,5.66
59,port elizabeth,75,ZA,broken clouds,83,-33.918,25.5701,294.32,0.0,0.0,5.66
60,agdam,99,AZ,light snow,86,39.991,46.9274,274.96,0.0,0.41,1.72
61,paraopeba,100,BR,overcast clouds,69,-19.2757,-44.4033,299.79,0.0,0.0,1.62
62,hobart,100,AU,overcast clouds,76,-42.8794,147.3294,288.16,0.0,0.0,2.06
63,guerrero negro,0,MX,clear sky,26,27.9769,-114.0611,291.0,0.0,0.0,1.3
64,lovozero,100,RU,overcast clouds,92,68.005,35.0117,262.99,0.0,0.0,4.93
65,mezen,99,RU,overcast clouds,90,65.8522,44.24,260.2,0.0,0.0,5.57
66,saurimo,91,AO,moderate rain,95,-9.6608,20.3916,291.36,1.07,0.0,1.86
67,gannan,95,CN,overcast clouds,85,47.9147,123.5031,254.98,0.0,0.0,3.03
68,tuatapere,19,NZ,few clouds,88,-46.1333,167.6833,283.61,0.0,0.0,1.02
69,brejo,100,BR,overcast clouds,85,-3.6844,-42.7503,300.54,0.0,0.0,0.95
70,kismayo,98,SO,overcast clouds,82,-0.3582,42.5454,299.01,0.0,0.0,5.6
71,hermanus,65,ZA,broken clouds,73,-34.4187,19.2345,295.82,0.0,0.0,8.04
72,ancud,4,CL,clear sky,58,-41.8697,-73.8203,295.5,0.0,0.0,3.48
73,repalle,71,IN,broken clouds,91,16.0167,80.85,294.3,0.0,0.0,1.39
74,kathu,58,TH,broken clouds,78,7.9178,98.3332,301.05,0.0,0.0,8.78
75,chokurdakh,100,RU,overcast clouds,100,70.6333,147.9167,237.56,0.0,0.0,0.84
